age,gender,nchars
20,female,1971446
20,female,931793
20,female,1117037
20,male,1296224
20,male,356
20,female,1572673
20,female,1140363
20,male,943582
20,female,5180937
20,female,316512
20,female,456106
20,male,1136005
20,female,228822
20,female,2092994
20,male,909390
20,female,3908570
20,female,999012
20,female,45709
20,male,1482685
20,female,1834622
20,female,2859986
20,male,469255
20,female,1061210
20,female,294285
20,female,667339
20,male,365897
20,female,1517915
20,male,161805
20,female,1464033
20,male,3568525
20,female,47539
20,female,2857854
20,female,51373
20,female,1707783
20,male,32639
20,female,153731
20,female,2352922
20,female,23642
20,female,1497903
20,female,3295718
20,female,1548238
20,male,1463661
20,male,39811
20,male,5563640
20,male,716848
20,male,770338
20,male,209348
20,male,324680
20,female,4715360
20,male,5840702
20,female,1599322
20,male,4833461
20,female,1103782
20,female,304250
20,male,708153
20,male,468711
20,female,621758
20,female,545298
20,male,98468
20,female,465965
20,male,817563
20,female,1602421
20,female,1794690
20,female,1067324
20,female,1595548
20,female,1368366
20,male,6582465
20,male,5965320
20,female,3816
20,female,1139967
20,male,757018
20,male,898903
20,female,785085
20,female,1177261
20,female,1539666
20,male,1861388
20,male,903190
20,female,586096
20,male,1072631
20,female,208649
20,female,1185067
20,female,2205641
20,male,8432868
20,female,2257344
20,male,353176
20,male,2116014
20,female,652554
20,female,2315937
20,female,481461
20,male,1222694
20,female,445821
20,female,62525
20,female,509860
20,female,956583
20,male,404587
20,female,564592
20,male,2900893
20,male,2506914
20,female,1923508
20,female,560180
20,female,513758
20,female,4574340
20,female,524666
20,female,98848
20,female,1228879
20,male,4740715
20,female,2510713
20,female,466375
20,male,1402631
20,female,481828
20,male,1257119
20,male,4208521
20,female,1892128
20,male,1614639
20,female,1393884
20,female,1270733
20,female,157119
20,female,57433
20,female,1361884
20,female,127737
20,female,2786120
20,female,1456327
20,female,2048092
20,female,1800985
20,female,885774
20,female,413522
20,male,1337519
20,male,1542408
20,female,3060835
20,male,878163
20,male,1442820
20,female,1164542
20,female,842619
20,female,1726227
20,male,2137063
20,female,309653
20,female,223186
20,female,2649667
20,male,954851
20,male,535783
20,female,1536422
20,female,1097394
20,female,753279
20,male,449126
20,female,958796
20,male,1184029
20,male,913447
19,female,1681421
19,male,309858
19,male,1784979
19,male,2253884
19,male,2808676
19,female,5844345
19,male,673957
19,female,24578
19,male,2302793
19,female,1619882
19,male,602563
19,male,704138
19,female,911928
19,female,316807
19,male,672317
19,female,405369
19,female,1102917
19,female,1008448
19,male,2740913
19,male,1112265
19,female,504765
19,male,634126
19,female,1127672
19,female,1101722
19,female,392506
19,female,271034
19,female,258413
19,female,1527359
19,male,315746
19,male,256895
19,female,123508
19,female,653158
19,female,2721948
19,male,473884
19,male,551259
19,female,208046
19,female,463532
19,female,374991
19,male,461930
19,female,2014648
19,male,1514536
19,female,789861
19,male,763408
19,male,1207473
19,male,298074
19,female,3947906
19,female,623695
19,female,623769
19,female,313836
19,male,2737318
19,female,3583960
19,female,2160873
19,female,315887
19,male,1031825
19,male,215308
19,female,697185
19,male,1645819
19,female,724335
19,male,455363
19,female,1120093
19,female,1372657
19,female,736151
19,female,1409162
19,female,1994416
19,female,3307373
19,female,578340
19,female,482085
19,male,214170
19,female,221584
19,female,1404900
19,female,1120579
19,female,240695
19,male,1183269
19,female,775894
19,female,601119
19,female,72485
19,female,533496
19,female,354292
19,female,1821884
19,female,564823
19,male,1190076
19,female,951564
19,female,1979274
19,female,178772
19,female,1153778
19,female,597983
19,female,1196752
19,male,1695306
19,female,2686909
19,female,1605347
19,male,643130
19,female,345756
19,male,1399173
19,female,1406467
19,female,666032
19,male,3825285
19,male,30236
19,female,182824
19,female,756015
19,female,15034
19,female,2092711
19,male,91947
19,female,1775513
19,female,1141857
19,female,121810
19,female,29639
19,female,120695
19,female,2311675
19,female,74082
19,female,535524
19,female,2264980
19,male,654444
19,female,484633
19,female,524148
19,male,2266204
19,female,2360136
19,female,1242055
19,female,1265656
19,male,786155
19,male,1226796
19,female,878258
19,female,116447
19,female,17782
19,male,119080
19,female,62731
19,female,1191872
19,female,441697
19,male,770664
19,female,583184
19,male,1332977
19,male,489201
19,female,838913
19,male,602138
19,male,296391
19,female,1161912
19,male,5868394
19,female,4193880
19,female,135757
19,male,781402
19,male,8939278
19,female,1134129
19,female,1823053
19,female,4143582
19,male,1414062
19,female,88697
19,male,1604306
19,male,411549
19,male,2854637
19,female,4458660
19,male,66340
19,female,1833321
19,female,325765
19,female,5004
19,female,148491
19,female,613801
19,female,351361
19,female,1081330
19,female,1266076
19,female,2519656
19,male,300613
19,female,866171
19,male,618848
19,female,14246
19,female,2545280
19,female,3830200
19,female,2098746
19,female,1194480
19,female,131272
19,female,1235042
19,female,1441591
19,female,1977784
19,female,767854
19,female,162991
19,female,3875607
19,female,271422
19,female,1847504
19,male,559837
19,male,1938861
19,female,1884027
19,female,900222
19,female,859970
19,female,330674
19,female,565884
19,female,3513291
19,female,1043598
19,female,2406068
19,female,2531865
19,female,2865506
19,female,2016771
19,female,4176212
19,female,656232
19,female,2068193
19,female,3011050
19,female,1973301
19,male,500006
19,male,1294894
19,male,327289
19,female,1750167
19,male,61436
19,female,77548
19,female,326414
19,male,953398
19,female,897372
19,male,1733343
19,male,4409496
19,male,5536798
18,female,281773
18,female,2403362
18,male,3137668
18,female,1937723
18,female,543003
18,female,424096
18,male,865073
18,male,566643
18,female,1236408
18,female,3954145
18,female,5603
18,female,1559351
18,female,204870
18,female,1022792
18,female,244530
18,female,1907833
18,female,954986
18,female,359839
18,male,4903532
18,female,357546
18,female,462992
18,male,1589434
18,female,309907
18,female,111093
18,male,83599
18,male,159028
18,female,373122
18,female,2208626
18,female,784532
18,male,678763
18,female,180857
18,female,6564
18,female,1085057
18,female,2431763
18,female,1603757
18,female,109093
18,female,41027
18,female,2267095
18,female,335340
18,female,18283
18,female,714454
18,female,777540
18,female,1384769
18,female,267822
18,female,2120807
18,female,615363
18,female,525175
18,female,11135
18,female,2788310
18,female,583371
18,male,359608
18,male,1142196
18,male,3880905
18,female,2930006
18,female,71547
18,female,2859465
18,female,1175527
18,female,616165
18,female,367723
18,female,997091
18,female,581007
18,female,455472
18,female,835199
18,female,2047338
18,female,383587
18,female,248693
18,female,2442673
18,female,1033976
18,female,461481
18,male,2359000
18,female,2283247
18,female,496240
18,female,1755459
18,female,1530163
18,female,1355349
18,female,815486
18,female,544996
18,male,624668
18,female,778593
18,female,883205
18,female,21153
18,female,909448
18,male,9727
18,female,23646
18,female,477457
18,female,45792
18,female,926967
18,male,977939
18,female,58805
18,female,810765
18,female,1169546
18,female,1121008
18,female,75449
18,male,998000
18,female,331063
18,female,499397
18,female,389778
18,male,470277
18,female,1965029
18,male,1765349
18,female,1572229
18,female,1029259
18,female,569351
18,female,735391
18,female,824897
18,female,63836
18,female,526114
18,female,742574
18,female,265662
18,male,1230072
18,female,1835070
18,female,252148
18,female,189290
18,female,630684
18,female,1219801
18,female,1122481
18,female,1010068
18,female,686619
18,male,919946
18,female,541170
18,female,133416
18,male,958453
18,female,4209324
18,female,25684
18,female,2417417
18,female,2624914
18,female,2687925
18,female,2181055
18,female,976985
18,female,3237707
18,male,312858
18,female,446351
18,male,1478491
18,female,375566
18,female,998092
18,female,666097
18,female,320611
18,female,604153
18,female,251206
18,female,22274
18,female,979213
18,female,53366
18,female,535939
18,female,3595106
18,female,882993
18,female,2453471
18,female,1603670
18,female,1145343
18,male,1532538
18,female,670948
18,female,297247
18,male,886322
18,female,862692
18,female,905541
18,female,348710
18,female,874657
18,male,917694
18,female,354111
18,female,720763
18,male,145251
18,male,262979
18,female,322692
18,male,201938
18,female,466027
18,female,1058001
18,female,1212705
18,female,794617
18,female,1663819
18,female,4663
18,female,3501028
18,female,190439
18,female,152199
18,male,1999011
18,female,159084
18,female,1589710
18,female,738528
18,female,3924576
18,female,2023887
18,female,1176916
18,female,878523
18,female,542665
18,female,825848
18,female,116082
18,female,910816
18,female,1069658
18,female,2092982
18,female,368807
18,female,2278316
18,female,98685
18,male,2304800
18,female,3925293
18,female,1780484
18,male,9991
18,female,1907664
18,female,4685528
18,female,109098
18,female,1332193
18,female,130
18,female,2452740
18,female,478628
18,female,1190491
18,male,1349062
18,female,1140688
18,male,2815684
18,male,12037
18,female,737279
18,female,2380753
18,female,1496071
18,female,1853522
18,female,3916177
18,female,1330078
18,female,2760197
18,male,599688
18,female,337211
18,female,380991
18,male,2612098
18,male,2229922
18,female,974671
18,female,524549
18,female,860056
18,female,310315
18,female,125727
18,female,40559
18,female,1114401
18,female,2352533
18,female,1930644
18,female,1075860
18,male,3170885
18,female,565727
18,female,469220
18,female,558042
18,female,112485
18,female,437645
18,female,4359269
18,female,401632
18,male,906872
18,male,1161392
18,female,1212299
18,female,2570637
18,male,483952
18,female,1452193
18,female,1705917
18,male,461390
18,female,2362006
18,male,232770
18,female,679630
18,female,436840
18,female,1008135
18,female,34026
18,female,1332380
18,female,2089901
18,female,371558
18,female,978732
18,female,2277801
18,female,381434
18,female,2359380
18,female,1871290
18,female,1436391
18,female,892209
18,female,331958
18,female,2132639
18,female,1311433
18,female,1566834
18,female,556700
18,female,1350695
17,female,322886
17,male,289968
17,male,324022
17,female,475767
17,female,777380
17,female,1810353
17,female,1400959
17,female,426948
17,female,274756
17,female,435971
17,male,1654362
17,female,757061
17,female,685122
17,female,1194490
17,male,1043315
17,female,418282
17,female,828669
17,female,1072667
17,male,672510
17,female,633014
17,female,1662143
17,female,3729586
17,female,2746984
17,female,2733857
17,female,767489
17,female,2137255
17,female,66314
17,female,465051
17,female,277341
17,female,543485
17,female,1268859
17,female,230980
17,female,612845
17,female,302821
17,female,1523243
17,female,1201033
17,female,1133714
17,male,410956
17,male,5753
17,female,64904
17,female,144439
17,female,27500
17,female,1460049
17,female,728904
17,female,711035
17,female,417789
17,female,298109
17,female,1550502
17,female,78663
17,female,376012
17,female,796525
17,female,1161561
17,male,812416
17,female,52171
17,male,1342218
17,female,643366
17,male,2037716
17,female,1930131
17,female,523225
17,female,2353520
17,female,1155159
17,female,697047
17,female,686349
17,female,1185078
17,female,114897
17,female,1100859
17,female,1300101
17,female,745881
17,female,201619
17,female,870922
17,female,1071014
17,male,14423
17,female,532506
17,female,1853905
17,female,775930
17,female,39825
17,female,1584824
17,female,193341
17,female,14005
17,female,142901
17,female,1921137
17,female,43110
17,female,943135
17,female,638513
17,female,488628
17,male,300593
17,female,26322
17,male,590569
17,female,789154
17,female,531363
17,female,379614
17,female,95566
17,female,245873
17,male,544933
17,female,140169
17,female,105450
17,female,433991
17,female,1500918
17,female,182390
17,female,448107
17,female,866814
17,female,1689462
17,female,321279
17,female,586356
17,female,443896
17,female,475574
